direccion,Barrio y/o Localidad,Provincia,Batch de geocoding
12 DE OCTUBRE 1800,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 2100,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 2400,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 2700,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3000,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3300,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3600,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 3900,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 4200,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 4500,Gral. Daniel Cerri,BUENOS AIRES,0
12 DE OCTUBRE 4800,Gral. Daniel Cerri,BUENOS AIRES,0
14 DE JULIO 0,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 300,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 600,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 900,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 1200,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 1500,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 1800,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 2100,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 2400,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 2700,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3000,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3300,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3600,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 3900,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 4200,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 4500,BAHIA BLANCA,BUENOS AIRES,0
14 DE JULIO 4800,BAHIA BLANCA,BUENOS AIRES,0
15 DE JULIO 0,Cabildo,BUENOS AIRES,0
15 DE JULIO 300,Cabildo,BUENOS AIRES,0
15 DE JULIO 600,Cabildo,BUENOS AIRES,0
15 DE JULIO 900,Cabildo,BUENOS AIRES,0
15 DE JULIO 1200,Cabildo,BUENOS AIRES,0
15 DE JULIO 1500,Cabildo,BUENOS AIRES,0
15 DE JULIO 1800,Cabildo,BUENOS AIRES,0
15 DE JULIO 2100,Cabildo,BUENOS AIRES,0
15 DE JULIO 2400,Cabildo,BUENOS AIRES,0
15 DE JULIO 2700,Cabildo,BUENOS AIRES,0
15 DE JULIO 3000,Cabildo,BUENOS AIRES,0
15 DE JULIO 3300,Cabildo,BUENOS AIRES,0
15 DE JULIO 3600,Cabildo,BUENOS AIRES,0
15 DE JULIO 3900,Cabildo,BUENOS AIRES,0
15 DE JULIO 4200,Cabildo,BUENOS AIRES,0
15 DE JULIO 4500,Cabildo,BUENOS AIRES,0
15 DE JULIO 4800,Cabildo,BUENOS AIRES,0
17 DE MAYO 0,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 300,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 600,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 900,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 1200,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 1500,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 1800,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 2100,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 2400,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 2700,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 3000,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 3300,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 3600,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 3900,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 4200,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 4500,BAHIA BLANCA,BUENOS AIRES,0
17 DE MAYO 4800,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 0,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 300,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 600,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 900,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 1200,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 1500,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 1800,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 2100,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 2400,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 2700,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 3000,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 3300,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 3600,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 3900,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 4200,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 4500,BAHIA BLANCA,BUENOS AIRES,0
19 DE MAYO 4800,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 0,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 300,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 600,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 900,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 1200,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 1500,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 1800,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 2100,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 2400,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 2700,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 3000,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 3300,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 3600,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 3900,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 4200,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 4500,BAHIA BLANCA,BUENOS AIRES,0
2 DE ABRIL 4800,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 0,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 300,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 600,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 900,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 1200,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 1500,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 1800,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 2100,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 2400,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 2700,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 3000,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 3300,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 3600,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 3900,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 4200,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 4500,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 4800,BAHIA BLANCA,BUENOS AIRES,0
25 DE MAYO 0,Cabildo,BUENOS AIRES,0
25 DE MAYO 300,Cabildo,BUENOS AIRES,0
25 DE MAYO 600,Cabildo,BUENOS AIRES,0
25 DE MAYO 900,Cabildo,BUENOS AIRES,0
25 DE MAYO 1200,Cabildo,BUENOS AIRES,0
25 DE MAYO 1500,Cabildo,BUENOS AIRES,0
25 DE MAYO 1800,Cabildo,BUENOS AIRES,0
25 DE MAYO 2100,Cabildo,BUENOS AIRES,0
25 DE MAYO 2400,Cabildo,BUENOS AIRES,0
25 DE MAYO 2700,Cabildo,BUENOS AIRES,0
25 DE MAYO 3000,Cabildo,BUENOS AIRES,0
25 DE MAYO 3300,Cabildo,BUENOS AIRES,0
25 DE MAYO 3600,Cabildo,BUENOS AIRES,0
25 DE MAYO 3900,Cabildo,BUENOS AIRES,0
